iter	Passed	Remaining
398	16177	8149
399	16215	8107
400	16254	8066
401	16294	8025
402	16330	7982
403	16367	7940
404	16406	7899
405	16444	7857
406	16484	7817
407	16521	7774
408	16559	7733
409	16600	7692
410	16636	7650
411	16672	7608
412	16707	7565
413	16743	7522
414	16780	7480
415	16815	7437
416	16852	7395
417	16888	7353
418	16923	7310
419	16962	7269
420	16999	7227
421	17036	7186
422	17070	7142
423	17104	7099
424	17137	7056
425	17173	7014
426	17210	6972
427	17246	6930
428	17281	6888
429	17316	6846
430	17351	6803
431	17385	6760
432	17417	6717
433	17451	6674
434	17484	6631
435	17518	6589
436	17551	6546
437	17585	6504
438	17618	6461
439	17651	6418
440	17689	6377
441	17723	6335
442	17757	6293
443	17792	6251
444	17826	6209
445	17862	6167
446	17896	6125
447	17930	6083
448	17973	6044
449	18007	6002
450	18041	5960
451	18075	5918
452	18110	5876
453	18145	5835
454	18178	5793
455	18213	5751
456	18245	5709
457	18279	5667
458	18312	5625
459	18346	5583
460	18381	5542
461	18415	5500
462	18450	5459
463	18487	5418
464	18524	5378
465	18559	5336
466	18593	5295
467	18626	5253
468	18659	5211
469	18691	5170
470	18725	5128
471	18757	5086
472	18790	5045
473	18824	5003
474	18857	4962
475	18890	4921
476	18923	4879
477	18956	4838
478	19002	4800
479	19041	4760
480	19084	4721
481	19127	4682
482	19163	4642
483	19195	4600
484	19230	4559
485	19264	4518
486	19308	4480
487	19347	4440
488	19381	4399
489	19414	4358
490	19446	4317
491	19480	4276
492	19518	4236
493	19554	4195
494	19592	4156
495	19627	4115
496	19660	4074
497	19700	4035
498	19736	3994
499	19773	3954
500	19810	3914
501	19846	3874
502	19884	3834
503	19923	3794
504	19963	3755
505	20000	3715
506	20042	3676
507	20078	3636
508	20115	3596
509	20156	3556
510	20193	3517
511	20230	3477
512	20272	3437
513	20309	3398
514	20344	3357
515	20377	3317
516	20411	3276
517	20442	3236
518	20474	3195
519	20510	3155
520	20542	3114
521	20574	3074
522	20608	3034
523	20640	2993
524	20673	2953
525	20705	2912
526	20738	2872
527	20770	2832
528	20807	2792
529	20839	2752
530	20873	2712
531	20905	2672
532	20940	2632
533	20972	2592
534	21005	2552
535	21038	2512
536	21072	2472
537	21104	2432
538	21137	2392
539	21169	2352
540	21201	2312
541	21232	2272
542	21264	2232
543	21296	2192
544	21328	2152
545	21358	2112
546	21390	2072
547	21420	2032
548	21452	1992
549	21483	1953
550	21514	1913
551	21546	1873
552	21577	1833
553	21608	1794
554	21639	1754
555	21672	1715
556	21709	1675
557	21742	1636
558	21774	1597
559	21806	1557
560	21837	1518
561	21870	1478
562	21905	1439
563	21941	1400
564	21975	1361
565	22010	1322
566	22045	1283
567	22077	1243
568	22106	1204
569	22134	1164
570	22164	1125
571	22193	1086
572	22222	1047
573	22251	1007
574	22280	968
575	22311	929
576	22341	890
577	22372	851
578	22404	812
579	22435	773
580	22469	734
581	22500	695
582	22533	657
583	22566	618
584	22596	579
585	22628	540
586	22660	501
587	22693	463
588	22724	424
589	22756	385
590	22787	347
591	22818	308
592	22850	269
593	22878	231
594	22907	192
595	22936	153
596	22965	115
597	22993	76
598	23023	38
599	23052	0
